毛泽东	沁园春 · 长沙	恰同学少年，风华正茂，书生意气，挥斥方遒。
毛泽东	水调歌头 · 重上井冈山	久有凌云志，重上井冈山。
毛泽东	水调歌头 · 重上井冈山	世上无难事，只要肯登攀。
毛泽东	水调歌头 · 重上井冈山	可上九天揽月，可下五洋捉鳖，谈笑凯歌还。
毛泽东	水调歌头 · 重上井冈山	风雷动，旌旗奋，是人寰。
孟浩然	春晓	春眠不觉晓，处处闻啼鸟。
纳兰性德	如梦令	万帐穹庐人醉，星影摇摇欲坠。
纳兰性德	如梦令	还睡，还睡，解道醒来无味。
孟郊	游子吟	临行密密缝，意恐迟迟归。
王羲之	兰亭集序	后之视今，亦犹今之视昔，悲夫！
杜甫	望岳	造化钟神秀，阴阳割昏晓。
纳兰性德	如梦令	蓦地一相逢，心事眼波难定。
纳兰性德	金缕曲 · 赠梁汾	青眼高歌俱未老，向尊前、拭尽英雄泪。
纳兰性德	金缕曲 · 赠梁汾	然诺重，君须记。
李煜	一斛珠 · 晓妆初过	绣床斜凭娇无那，烂嚼红茸，笑向檀郎唾。
李清照	夏日绝句	至今思项羽，不肯过江东。
李清照	点绛唇 · 蹴罢秋千	倚门回首，却把青梅嗅。
苏轼	定风波 · 南海归，赠王定国侍人寓娘	尽道清歌传皓齿，风起，雪飞炎海变清凉。
苏轼	定风波 · 南海归，赠王定国侍人寓娘	万里归来颜愈少，微笑，笑时犹带岭梅香。
苏轼	江神子 · 别徐州	天涯流落思无穷。既相逢，却匆匆。
苏轼	儋耳	垂天雌霓云端下，快意雄风海上来。
李白	侠客行	银鞍照白马，飒沓如流星。
李白	侠客行	事了拂衣去，深藏身与名。
李白	侠客行	十步杀一人，千里不留行。
苏轼	水调歌头 · 快哉亭作	落日绣帘卷，亭下水连空。
苏轼	水调歌头 · 快哉亭作	欹枕江南烟雨，杳杳没孤鸿。
欧阳修	生查子 · 元夕	月到柳梢头，人约黄昏後。
张孝祥	念奴娇 · 过洞庭	素月分辉，明河共影，表里俱澄澈。
张孝祥	念奴娇 · 过洞庭	扣舷独啸，不知今夕何夕。
张孝祥	念奴娇 · 过洞庭	应念岭表经年，孤光自照，肝胆皆冰雪。
柳宗元	永州八记 · 其一 · 始得西山宴游记	洋洋乎与造物者游，而不知其所穷。
李白	听蜀僧濬弹琴	为我一挥手，如听万壑松。
李白	听蜀僧濬弹琴	客心洗流水，馀响入霜钟。
李白	听蜀僧濬弹琴	不觉碧山暮，秋云暗几重。
毛泽东	清平乐 · 六盘山	不到长城非好汉，屈指行程二万。
苏轼	望江南 · 超然台作	休对故人思故国，且将新火试新茶，诗酒趁年华。
苏轼	望江南 · 超然台作	试上超然台上望，半壕春水一城花。
毛泽东	忆秦娥 · 娄山关	西风烈，长空雁叫霜晨月。
王安石	元日	千门万户曈曈日，总把新桃换旧符。
王安石	元日	爆竹声中一岁除，春风送暖入屠苏。
陶渊明	归去来兮辞	既自以心为形役，奚惆怅而独悲？
陶渊明	归去来兮辞	寓形宇内复几时？曷不委心任去留？
陶渊明	归去来兮辞	聊乘化以归尽，乐夫天命复奚疑？
刘过	唐多令	柳下系船犹未稳，能几日，又中秋。
王维	相思	愿君多采撷，此物最相思。
王维	鸟鸣涧	人闲桂花落，夜静春山空。
王维	送别	但去莫复问，白云无尽时。
王维	过香积寺	薄暮空潭曲，安禅制毒龙。
辛弃疾	木兰花慢 · 滁州送范倅	目断秋霄落雁，醉来时响空弦。
李清照	摊破浣溪沙	豆蔻连梢煎熟水，莫分茶。
李清照	摊破浣溪沙	枕上诗书闲处好，门前风景雨来佳。
晏几道	阮郎归	兰佩紫，菊簪黄，殷勤理旧狂。
李商隐	无题	昨夜星辰昨夜风，画楼西畔桂堂东。
李商隐	晚晴	天意怜幽草，人间重晚晴。
李商隐	晚晴	并添高阁迥，微注小窗明。
王维	终南山	太乙近天都，连山到海隅。
王维	终南山	分野中峰变，阴晴众壑殊。
王之涣	登鹳雀楼	欲穷千里目，更上一层楼。
无名氏	古诗十九首 · 生年不满百	生年不满百，常怀千岁忧。
无名氏	古诗十九首 · 生年不满百	昼短苦夜长，何不秉烛遊！
杜甫	赠卫八处士	人生不相见，动如参与商。
杜甫	赠卫八处士	明日隔山岳，世事两茫茫。
蒋捷	江城梅花引 · 荆溪阻雪	白鸥问我泊孤舟，是身留，是心留？
贺铸	鹧鸪天·半死桐	原上草，露初晞，旧栖新垅两依依。
卢纶	塞下曲	欲将轻骑逐，大雪满弓刀。
辛弃疾	贺新郎 · 同父见和，再用韵答之	看试手，补天裂。
杜牧	清明	清明时节雨纷纷，路上行人欲断魂。
杜牧	清明	借问酒家何处有？牧童遥指杏花村。
杜牧	山行	远上寒山石径斜，白云深处有人家。
杜牧	山行	停车坐爱枫林晚，霜叶红于二月花。
苏轼	临江仙 · 夜归临皋	小舟从此逝，江海寄馀生。
苏轼	江城子 · 密州出猎	锦帽貂裘，千骑卷平冈。
苏轼	南乡子 · 黄州临皋亭作	暮雨暗阳台，乱洒歌楼湿粉腮。
孟郊	游子吟	慈母手中线，游子身上衣。
苏轼	洞仙歌	细屈指西风几时来，又不道、流年暗中偷换。
苏轼	洞仙歌	冰肌玉骨，自清凉无汗。
苏轼	洞仙歌	起来携素手，庭户无声，时见疏星渡河汉。
李白	静夜思	举头望明月，低头思故乡。
李白	独坐敬亭山	众鸟高飞尽，孤云独去闲。
欧阳修	醉翁亭记	醉翁之意不在酒，在乎山水之间也。
欧阳修	醉翁亭记	山水之乐，得之心而寓之酒也。
寒山	众星罗列	众星罗列夜明深，岩点孤灯月未沉。
寒山	众星罗列	圆满光华不磨镜，挂在青天是我心。
寒山	杳杳寒山道	朝朝不见日，岁岁不知春。
寒山	杳杳寒山道	啾啾常有鸟，寂寂更无人。
周邦彦	苏幕遮	燎沈香，消溽暑。
周邦彦	苏幕遮	水面清圆，一一风荷举。
周邦彦	苏幕遮	家住吴门，久作长安旅。
周邦彦	苏幕遮	小楫轻舟，梦入芙蓉浦。
李益	夜上受降城闻笛	不知何处吹芦管，一夜征人尽望乡。
李益	夜上受降城闻笛	回乐峰前沙似雪，受降城外月如霜。
刘长卿	寻南溪常山道人隐居	白云依静渚，春草闭闲门。
刘长卿	寻南溪常山道人隐居	过雨看松色，随山到水源。
刘长卿	寻南溪常山道人隐居	溪花与禅意，相对亦忘言。
张继	枫桥夜泊	姑苏城外寒山寺，夜半钟声到客船。
陆游	十一月四日风雨大作（其二）	夜阑卧听风吹雨，铁马冰河入梦来。
温庭筠	菩萨蛮	小山重叠金明灭，鬓云欲度香腮雪。
温庭筠	菩萨蛮	照花前后镜，花面交相映。
刘禹锡	秋词（其一）	自古逢秋悲寂寥，我言秋日胜春朝。
刘禹锡	秋词（其一）	晴空一鹤排云上，便引诗情到碧霄。
刘禹锡	西塞山怀古	千寻铁锁沉江底，一片降幡出石头。
刘禹锡	西塞山怀古	人世几回伤往事，山形依旧枕寒流。
钱起	送僧归日本	惟怜一灯影，万里眼中明。
钱起	省试湘灵鼓瑟	苦调凄金石，清音入杳冥。
钱起	省试湘灵鼓瑟	流水传潇浦，悲风过洞庭。
钱起	省试湘灵鼓瑟	曲终人不见，江上数峰青。
王维	送元二使安西	渭城朝雨邑轻尘，客舍青青柳色新。
苏轼	卜算子 · 黄州定慧院寓居作	谁见幽人独往来，缥缈孤鸿影。
苏轼	卜算子 · 黄州定慧院寓居作	缺月挂疏桐，漏断人初静。
柳永	雨霖铃 · 秋别	执手相看泪眼，竟无语凝噎。
柳永	雨霖铃 · 秋别	今宵酒醒何处？杨柳岸，晓风残月。
柳永	雨霖铃 · 秋别	此去经年，应是良辰好景虚设。
柳永	雨霖铃 · 秋别	念去去，千里烟波，暮霭沉沉楚天阔。
李煜	浪淘沙令	梦里不知身是客，一晌贪欢。
李煜	浪淘沙令	流水落花春去也，天上人间。
李煜	浪淘沙令	独自莫凭栏，无限江山，别时容易见时难。
李白	忆秦娥	箫声咽，秦娥梦断秦楼月。
李白	忆秦娥	西风残照，汉家陵阙。
李白	忆秦娥	秦楼月，年年柳色，霸陵伤别。
屈原	楚辞 · 渔父	安能以皓皓之白，而蒙世俗之尘埃乎！
苏轼	西江月 · 平山堂	十年不见老仙翁，壁上龙蛇飞动。
苏轼	西江月 · 平山堂	休言万事转头空，未转头时皆梦。
苏轼	西江月 · 平山堂	三过平山堂下，半生弹指声中。
曹操	步出夏门行 · 其四 · 龟虽寿	老骥伏枥，志在千里。烈士暮年，壮心不已。
曹操	步出夏门行 · 其一 · 观沧海	日月之行，若出其中。星汉灿烂，若出其里。
毛泽东	浪淘沙 · 北戴河	萧瑟秋风今又是，换了人间。
毛泽东	浪淘沙 · 北戴河	往事越千年，魏武挥鞭，东临碣石有遗篇。
毛泽东	浪淘沙 · 北戴河	大雨落幽燕，白浪滔天。
周敦颐	爱莲说	香远益清，亭亭净植。
